lic_ticker,lic_name,year,number_shares,lic_id
AFI,Australian Foundation Investment Company Limited,2014,1044013116,
AFI,Australian Foundation Investment Company Limited,2015,1078053226,
AFI,Australian Foundation Investment Company Limited,2016,1114522875,
AFI,Australian Foundation Investment Company Limited,2017,1149255591,
AFI,Australian Foundation Investment Company Limited,2018,1182444510,
AFI,Australian Foundation Investment Company Limited,2019,1193810502,
AFI,Australian Foundation Investment Company Limited,2020,1206707394,
AFI,Australian Foundation Investment Company Limited,2021,1217056577,
AFI,Australian Foundation Investment Company Limited,2022,1226476015,
AFI,Australian Foundation Investment Company Limited,2023,1236299822,
ARG,Argo Investments Limited,2014,649399000,
ARG,Argo Investments Limited,2015,664839000,
ARG,Argo Investments Limited,2016,675375000,
ARG,Argo Investments Limited,2017,688734000,
ARG,Argo Investments Limited,2018,698658000,
ARG,Argo Investments Limited,2019,712377000,
ARG,Argo Investments Limited,2020,717978000,
ARG,Argo Investments Limited,2021,722897000,
ARG,Argo Investments Limited,2022,732559000,
ARG,Argo Investments Limited,2023,753110000,
WAM,WAM Capital Limited,2014,330157222,
WAM,WAM Capital Limited,2015,376328667,
WAM,WAM Capital Limited,2016,462955615,
WAM,WAM Capital Limited,2017,584844431,
WAM,WAM Capital Limited,2018,649848477,
WAM,WAM Capital Limited,2019,699115322,
WAM,WAM Capital Limited,2020,721317115,
WAM,WAM Capital Limited,2021,789120720,
WAM,WAM Capital Limited,2022,936724505,
WAM,WAM Capital Limited,2023,1093118512,
WLE,WAM Leaders Limited,2017,307416795,
WLE,WAM Leaders Limited,2018,596821963,
WLE,WAM Leaders Limited,2019,782048391,
WLE,WAM Leaders Limited,2020,785101510,
WLE,WAM Leaders Limited,2021,823925953,
WLE,WAM Leaders Limited,2022,1008478036,
WLE,WAM Leaders Limited,2023,1110620188,
LSF,L1 Long Short Fund Limited,2019,664839144,
LSF,L1 Long Short Fund Limited,2020,662745849,
LSF,L1 Long Short Fund Limited,2021,621573496,
LSF,L1 Long Short Fund Limited,2022,609229901,
LSF,L1 Long Short Fund Limited,2023,613819988,
MFF,MFF Capital Investments Limited,2014,350565102,
MFF,MFF Capital Investments Limited,2015,383408526,
MFF,MFF Capital Investments Limited,2016,463398209,
MFF,MFF Capital Investments Limited,2017,472968252,
MFF,MFF Capital Investments Limited,2018,525679557,
MFF,MFF Capital Investments Limited,2019,541422723,
MFF,MFF Capital Investments Limited,2020,544753649,
MFF,MFF Capital Investments Limited,2021,558860197,
MFF,MFF Capital Investments Limited,2022,577511045,
MFF,MFF Capital Investments Limited,2023,584672007,
BKI,BKI Investment Company Limited,2014,502728000,
BKI,BKI Investment Company Limited,2015,552158000,
BKI,BKI Investment Company Limited,2016,574631000,
BKI,BKI Investment Company Limited,2017,602860000,
BKI,BKI Investment Company Limited,2018,622799000,
BKI,BKI Investment Company Limited,2019,728234000,
BKI,BKI Investment Company Limited,2020,733696000,
BKI,BKI Investment Company Limited,2021,737798000,
BKI,BKI Investment Company Limited,2022,741249270,
BKI,BKI Investment Company Limited,2023,749690945,
AUI,Australian United Investment Company Limited,2014,108261729,
AUI,Australian United Investment Company Limited,2015,109259811,
AUI,Australian United Investment Company Limited,2016,120054058,
AUI,Australian United Investment Company Limited,2017,123557412,
AUI,Australian United Investment Company Limited,2018,123869817,
AUI,Australian United Investment Company Limited,2019,124180194,
AUI,Australian United Investment Company Limited,2020,124488838,
AUI,Australian United Investment Company Limited,2021,124806169,
AUI,Australian United Investment Company Limited,2022,125126000,
AUI,Australian United Investment Company Limited,2023,126007000,
DUI,Diversified United Investment Limited,2014,175216517,
DUI,Diversified United Investment Limited,2015,198422380,
DUI,Diversified United Investment Limited,2016,206950582,
DUI,Diversified United Investment Limited,2017,208179034,
DUI,Diversified United Investment Limited,2018,209355670,
DUI,Diversified United Investment Limited,2019,210464960,
DUI,Diversified United Investment Limited,2020,211502436,
DUI,Diversified United Investment Limited,2021,211878386,
DUI,Diversified United Investment Limited,2022,213350000,
DUI,Diversified United Investment Limited,2023,216156000,
CIN,Carlton Investments Limited,2014,26474675,
CIN,Carlton Investments Limited,2015,26474675,
CIN,Carlton Investments Limited,2016,26474675,
CIN,Carlton Investments Limited,2017,26474675,
CIN,Carlton Investments Limited,2018,26474675,
CIN,Carlton Investments Limited,2019,26474675,
CIN,Carlton Investments Limited,2020,26474675,
CIN,Carlton Investments Limited,2021,26474675,
CIN,Carlton Investments Limited,2022,26474675,
CIN,Carlton Investments Limited,2023,26474675,
PL8,Plato Income Maximiser Limited,2018,,
PL8,Plato Income Maximiser Limited,2019,,
PL8,Plato Income Maximiser Limited,2020,,
PL8,Plato Income Maximiser Limited,2021,,
PL8,Plato Income Maximiser Limited,2022,,
PL8,Plato Income Maximiser Limited,2023,,
DJW,Djerriwarrh Investments Limited,2014,,
DJW,Djerriwarrh Investments Limited,2015,,
DJW,Djerriwarrh Investments Limited,2016,,
DJW,Djerriwarrh Investments Limited,2017,,
DJW,Djerriwarrh Investments Limited,2018,,
DJW,Djerriwarrh Investments Limited,2019,,
DJW,Djerriwarrh Investments Limited,2020,,
DJW,Djerriwarrh Investments Limited,2021,,
DJW,Djerriwarrh Investments Limited,2022,,
DJW,Djerriwarrh Investments Limited,2023,,
PGF,PM Capital Global Opportunities Fund Limited,2015,,
PGF,PM Capital Global Opportunities Fund Limited,2016,,
PGF,PM Capital Global Opportunities Fund Limited,2017,,
PGF,PM Capital Global Opportunities Fund Limited,2018,,
PGF,PM Capital Global Opportunities Fund Limited,2019,,
PGF,PM Capital Global Opportunities Fund Limited,2020,,
PGF,PM Capital Global Opportunities Fund Limited,2021,,
PGF,PM Capital Global Opportunities Fund Limited,2022,,
PGF,PM Capital Global Opportunities Fund Limited,2023,,
WGB,WAM Global Limited,2019,,
WGB,WAM Global Limited,2020,,
WGB,WAM Global Limited,2021,,
WGB,WAM Global Limited,2022,,
WGB,WAM Global Limited,2023,,
WHF,Whitefield Industrials Limited,2014,,
WHF,Whitefield Industrials Limited,2015,,
WHF,Whitefield Industrials Limited,2016,,
WHF,Whitefield Industrials Limited,2017,,
WHF,Whitefield Industrials Limited,2018,,
WHF,Whitefield Industrials Limited,2019,,
WHF,Whitefield Industrials Limited,2020,,
WHF,Whitefield Industrials Limited,2021,,
WHF,Whitefield Industrials Limited,2022,,
WHF,Whitefield Industrials Limited,2023,,
HM1,Hearts and Minds Investments Limited,2020,,
HM1,Hearts and Minds Investments Limited,2021,,
HM1,Hearts and Minds Investments Limited,2022,,
HM1,Hearts and Minds Investments Limited,2023,,
MIR,Mirrabooka Investments Limited,2014,,
MIR,Mirrabooka Investments Limited,2015,,
MIR,Mirrabooka Investments Limited,2016,,
MIR,Mirrabooka Investments Limited,2017,,
MIR,Mirrabooka Investments Limited,2018,,
MIR,Mirrabooka Investments Limited,2019,,
MIR,Mirrabooka Investments Limited,2020,,
MIR,Mirrabooka Investments Limited,2021,,
MIR,Mirrabooka Investments Limited,2022,,
MIR,Mirrabooka Investments Limited,2023,,
VG1,VGI Partners Global Investments Limited,2019,,
VG1,VGI Partners Global Investments Limited,2020,,
VG1,VGI Partners Global Investments Limited,2021,,
VG1,VGI Partners Global Investments Limited,2022,,
VG1,VGI Partners Global Investments Limited,2023,,
FGX,Future Generation Australia,2016,,
FGX,Future Generation Australia,2017,,
FGX,Future Generation Australia,2018,,
FGX,Future Generation Australia,2019,,
FGX,Future Generation Australia,2020,,
FGX,Future Generation Australia,2021,,
FGX,Future Generation Australia,2022,,
FGG,Future Generation Global,2017,,
FGG,Future Generation Global,2018,,
FGG,Future Generation Global,2019,,
FGG,Future Generation Global,2020,,
FGG,Future Generation Global,2021,,
FGG,Future Generation Global,2022,,
PIC,Perpetual Equity Investment Company Limited,2016,,
PIC,Perpetual Equity Investment Company Limited,2017,,
PIC,Perpetual Equity Investment Company Limited,2018,,
PIC,Perpetual Equity Investment Company Limited,2019,,
PIC,Perpetual Equity Investment Company Limited,2020,,
PIC,Perpetual Equity Investment Company Limited,2021,,
PIC,Perpetual Equity Investment Company Limited,2022,,
PIC,Perpetual Equity Investment Company Limited,2023,,
RG8,Regal Asian Investments Limited,2021,,
RG8,Regal Asian Investments Limited,2022,,
RG8,Regal Asian Investments Limited,2023,,
ALI,Argo Global Listed Infrastructure Limited,2016,,
ALI,Argo Global Listed Infrastructure Limited,2017,,
ALI,Argo Global Listed Infrastructure Limited,2018,,
ALI,Argo Global Listed Infrastructure Limited,2019,,
ALI,Argo Global Listed Infrastructure Limited,2020,,
ALI,Argo Global Listed Infrastructure Limited,2021,,
ALI,Argo Global Listed Infrastructure Limited,2022,,
ALI,Argo Global Listed Infrastructure Limited,2023,,
PMC,Platinum Capital Limited,2014,,
PMC,Platinum Capital Limited,2015,,
PMC,Platinum Capital Limited,2016,,
PMC,Platinum Capital Limited,2017,,
PMC,Platinum Capital Limited,2018,,
PMC,Platinum Capital Limited,2019,,
PMC,Platinum Capital Limited,2020,,
PMC,Platinum Capital Limited,2021,,
PMC,Platinum Capital Limited,2022,,
PMC,Platinum Capital Limited,2023,,
WMI,WAM Microcap Limited,2018,,
WMI,WAM Microcap Limited,2019,,
WMI,WAM Microcap Limited,2020,,
WMI,WAM Microcap Limited,2021,,
WMI,WAM Microcap Limited,2022,,
WMI,WAM Microcap Limited,2023,,
PAI,Platinum Asia Investments Limited,2017,,
PAI,Platinum Asia Investments Limited,2018,,
PAI,Platinum Asia Investments Limited,2019,,
PAI,Platinum Asia Investments Limited,2020,,
PAI,Platinum Asia Investments Limited,2021,,
PAI,Platinum Asia Investments Limited,2022,,
PAI,Platinum Asia Investments Limited,2023,,
AMH,AMCIL Limited,2014,,
AMH,AMCIL Limited,2015,,
AMH,AMCIL Limited,2016,,
AMH,AMCIL Limited,2017,,
AMH,AMCIL Limited,2018,,
AMH,AMCIL Limited,2019,,
AMH,AMCIL Limited,2020,,
AMH,AMCIL Limited,2021,,
AMH,AMCIL Limited,2022,,
AMH,AMCIL Limited,2023,,
CDM,Cadence Capital Limited,2014,,
CDM,Cadence Capital Limited,2015,,
CDM,Cadence Capital Limited,2016,,
CDM,Cadence Capital Limited,2017,,
CDM,Cadence Capital Limited,2018,,
CDM,Cadence Capital Limited,2019,,
CDM,Cadence Capital Limited,2020,,
CDM,Cadence Capital Limited,2021,,
CDM,Cadence Capital Limited,2022,,
CDM,Cadence Capital Limited,2023,,
WAX,WAM Research Limited,2014,,
WAX,WAM Research Limited,2015,,
WAX,WAM Research Limited,2016,,
WAX,WAM Research Limited,2017,,
WAX,WAM Research Limited,2018,,
WAX,WAM Research Limited,2019,,
WAX,WAM Research Limited,2020,,
WAX,WAM Research Limited,2021,,
WAX,WAM Research Limited,2022,,
WAX,WAM Research Limited,2023,,
PIA,Pengana International Equities Limited,2014,,
PIA,Pengana International Equities Limited,2015,,
PIA,Pengana International Equities Limited,2016,,
PIA,Pengana International Equities Limited,2017,,
PIA,Pengana International Equities Limited,2018,,
PIA,Pengana International Equities Limited,2019,,
PIA,Pengana International Equities Limited,2020,,
PIA,Pengana International Equities Limited,2021,,
PIA,Pengana International Equities Limited,2022,,
PIA,Pengana International Equities Limited,2023,,
